,,,,,,,,,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
1974Boston Celtics,1974Milwaukee Bucks,1974Chicago Bulls,1974New York Knicks,,,,,,1974,pro,NBA,Boston Celtics,"Greater Boston, MA",Milwaukee Bucks,"Milwaukee, WI",Chicago Bulls,"Chicago, IL",New York Knicks,New York Metro Area
1975Golden State Warriors,1975Washington Bullets,1975Chicago Bulls,1975Boston Celtics,,,,,,1975,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Washington Bullets,"Washington, DC Metro Area",Chicago Bulls,"Chicago, IL",Boston Celtics,"Greater Boston, MA"
1976Boston Celtics,1976Phoenix Suns,1976Golden State Warriors,1976Cleveland Cavaliers,,,,,,1976,pro,NBA,Boston Celtics,"Greater Boston, MA",Phoenix Suns,"Metro Phoenix, AZ",Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH"
1977Portland Trail Blazers,1977Philadelphia 76ers,1977Los Angeles Lakers,1977Houston Rockets,,,,,,1977,pro,NBA,Portland Trail Blazers,"Portland Metro Area, OR",Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",Houston Rockets,"Houston, TX"
1978Washington Bullets,1978Seattle SuperSonics,1978Denver Nuggets,1978Philadelphia 76ers,,,,,,1978,pro,NBA,Washington Bullets,"Washington, DC Metro Area",Seattle SuperSonics,"Seattle,WA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA"
1979Seattle SuperSonics,1979Washington Bullets,1979Phoenix Suns,1979San Antonio Spurs,,,,,,1979,pro,NBA,Seattle SuperSonics,"Seattle,WA",Washington Bullets,"Washington, DC Metro Area",Phoenix Suns,"Metro Phoenix, AZ",San Antonio Spurs,"San Antonio, TX"
1980Los Angeles Lakers,1980Philadelphia 76ers,1980Seattle SuperSonics,1980Boston Celtics,,,,,,1980,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Seattle SuperSonics,"Seattle,WA",Boston Celtics,"Greater Boston, MA"
1981Boston Celtics,1981Houston Rockets,1981Kansas City Kings,1981Philadelphia 76ers,,,,,,1981,pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Kansas City Kings,"Kansas City, MO",Philadelphia 76ers,"Greater Philadelphia, PA"
1982Los Angeles Lakers,1982Philadelphia 76ers,1982San Antonio Spurs,1982Boston Celtics,,,,,,1982,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA"
1983Philadelphia 76ers,1983Los Angeles Lakers,1983San Antonio Spurs,1983Milwaukee Bucks,,,,,,1983,pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",San Antonio Spurs,"San Antonio, TX",Milwaukee Bucks,"Milwaukee, WI"
1984Boston Celtics,1984Los Angeles Lakers,1984Milwaukee Bucks,1984Phoenix Suns,,,,,,1984,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI",Phoenix Suns,"Metro Phoenix, AZ"
1985Los Angeles Lakers,1985Boston Celtics,1985Denver Nuggets,1985Philadelphia 76ers,,,,,,1985,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA"
1986Boston Celtics,1986Houston Rockets,1986Los Angeles Lakers,1986Milwaukee Bucks,,,,,,1986,pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI"
1987Los Angeles Lakers,1987Boston Celtics,1987Seattle SuperSonics,1987Detroit Pistons,,,,,,1987,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Seattle SuperSonics,"Seattle,WA",Detroit Pistons,"Metro Detroit, MI"
1988Los Angeles Lakers,1988Detroit Pistons,1988Dallas Mavericks,1988Boston Celtics,,,,,,1988,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Dallas Mavericks,"Dallas-Fort Worth, TX",Boston Celtics,"Greater Boston, MA"
1989Detroit Pistons,1989Los Angeles Lakers,1989Phoenix Suns,1989Chicago Bulls,,,,,,1989,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Phoenix Suns,"Metro Phoenix, AZ",Chicago Bulls,"Chicago, IL"
1990Detroit Pistons,1990Portland Trail Blazers,1990Chicago Bulls,1990Phoenix Suns,,12910000,11215000,10040000,11463000,1990,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR",Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ"
1991Chicago Bulls,1991Los Angeles Lakers,1991Detroit Pistons,1991Portland Trail Blazers,,16829000,15673000,,12742000,1991,pro,NBA,Chicago Bulls,"Chicago, IL",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",Portland Trail Blazers,"Portland Metro Area, OR"
1992Chicago Bulls,1992Portland Trail Blazers,1992Cleveland Cavaliers,1992Utah Jazz,,18536000,16369000,,14517000,1992,pro,NBA,Chicago Bulls,"Chicago, IL",Portland Trail Blazers,"Portland Metro Area, OR",Cleveland Cavaliers,"Cleveland, OH",Utah Jazz,"Salt Lake City, UT"
1993Chicago Bulls,1993Phoenix Suns,1993New York Knicks,1993Seattle SuperSonics,,18531000,21485000,22109000,,1993,pro,NBA,Chicago Bulls,"Chicago, IL",Phoenix Suns,"Metro Phoenix, AZ",New York Knicks,New York Metro Area,Seattle SuperSonics,"Seattle,WA"
1994Houston Rockets,1994New York Knicks,1994Indiana Pacers,1994Utah Jazz,,17578600,25748900,,18315950,1994,pro,NBA,Houston Rockets,"Houston, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Utah Jazz,"Salt Lake City, UT"
1995Houston Rockets,1995Orlando Magic,1995Indiana Pacers,1995San Antonio Spurs,,24814000,30397000,23499000,25448000,1995,pro,NBA,Houston Rockets,"Houston, TX",Orlando Magic,"Greater Orlando, FL",Indiana Pacers,"Indianapolis Metro Area, IN",San Antonio Spurs,"San Antonio, TX"
1996Chicago Bulls,1996Seattle SuperSonics,1996Orlando Magic,1996Utah Jazz,,58270000,,40149100,25267000,1996,pro,NBA,Chicago Bulls,"Chicago, IL",Seattle SuperSonics,"Seattle,WA",Orlando Magic,"Greater Orlando, FL",Utah Jazz,"Salt Lake City, UT"
1997Chicago Bulls,1997Utah Jazz,1997Houston Rockets,1997Miami Heat,,61330670,28505442,,,1997,pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Houston Rockets,"Houston, TX",Miami Heat,"Greater Miami Area, FL"
1998Chicago Bulls,1998Utah Jazz,1998Indiana Pacers,1998Los Angeles Lakers,,28640500,30298560,,41872000,1998,pro,NBA,Chicago Bulls,"Chicago, IL",Utah Jazz,"Salt Lake City, UT",Indiana Pacers,"Indianapolis Metro Area, IN",Los Angeles Lakers,"Greater Los Angeles, CA"
1999San Antonio Spurs,1999New York Knicks,1999Indiana Pacers,1999Portland Trail Blazers,,42529801,,,,1999,pro,NBA,San Antonio Spurs,"San Antonio, TX",New York Knicks,New York Metro Area,Indiana Pacers,"Indianapolis Metro Area, IN",Portland Trail Blazers,"Portland Metro Area, OR"
2000Los Angeles Lakers,2000Indiana Pacers,2000New York Knicks,2000Portland Trail Blazers,,58968213,55086140,,87395140,2000,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",New York Knicks,New York Metro Area,Portland Trail Blazers,"Portland Metro Area, OR"
2001Los Angeles Lakers,2001Philadelphia 76ers,2001Milwaukee Bucks,2001San Antonio Spurs,,54262017,58073366,56224266,45844814,2001,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Milwaukee Bucks,"Milwaukee, WI",San Antonio Spurs,"San Antonio, TX"
2002Los Angeles Lakers,2002New Jersey Nets,2002Boston Celtics,2002Sacramento Kings,,63151182,,52548195,70416596,2002,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New Jersey Nets,New York Metro Area,Boston Celtics,"Greater Boston, MA",Sacramento Kings,"Sacramento, CA"
2003San Antonio Spurs,2003New Jersey Nets,2003Dallas Mavericks,2003Detroit Pistons,,46464064,,,53442834,2003,pro,NBA,San Antonio Spurs,"San Antonio, TX",New Jersey Nets,New York Metro Area,Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI"
2004Detroit Pistons,2004Los Angeles Lakers,2004Indiana Pacers,2004Minnesota Timberwolves,,54762481,65059098,66064780,70123411,2004,pro,NBA,Detroit Pistons,"Metro Detroit, MI",Los Angeles Lakers,"Greater Los Angeles, CA",Indiana Pacers,"Indianapolis Metro Area, IN",Minnesota Timberwolves,"Twin Cities, MN"
2005San Antonio Spurs,2005Detroit Pistons,2005Miami Heat,2005Phoenix Suns,,,59619275,60732452,,2005,pro,NBA,San Antonio Spurs,"San Antonio, TX",Detroit Pistons,"Metro Detroit, MI",Miami Heat,"Greater Miami Area, FL",Phoenix Suns,"Metro Phoenix, AZ"
2006Miami Heat,2006Dallas Mavericks,2006Detroit Pistons,2006Phoenix Suns,,,,59010951,65841120,2006,pro,NBA,Miami Heat,"Greater Miami Area, FL",Dallas Mavericks,"Dallas-Fort Worth, TX",Detroit Pistons,"Metro Detroit, MI",Phoenix Suns,"Metro Phoenix, AZ"
2007San Antonio Spurs,2007Cleveland Cavaliers,2007Detroit Pistons,2007Utah Jazz,,70048523,,65898875,64959089,2007,pro,NBA,San Antonio Spurs,"San Antonio, TX",Cleveland Cavaliers,"Cleveland, OH",Detroit Pistons,"Metro Detroit, MI",Utah Jazz,"Salt Lake City, UT"
2008Boston Celtics,2008Los Angeles Lakers,2008Detroit Pistons,2008San Antonio Spurs,,79188973,78245793,71434174,68020487,2008,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Detroit Pistons,"Metro Detroit, MI",San Antonio Spurs,"San Antonio, TX"
2009Los Angeles Lakers,2009Orlando Magic,2009Cleveland Cavaliers,2009Denver Nuggets,,91378064,82200916,,74935538,2009,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Orlando Magic,"Greater Orlando, FL",Cleveland Cavaliers,"Cleveland, OH",Denver Nuggets,"Denver, CO"
2010Los Angeles Lakers,2010Boston Celtics,2010Orlando Magic,2010Phoenix Suns,,91428140,82045867,90770804,,2010,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Boston Celtics,"Greater Boston, MA",Orlando Magic,"Greater Orlando, FL",Phoenix Suns,"Metro Phoenix, AZ"
2011Dallas Mavericks,2011Miami Heat,2011Chicago Bulls,2011Oklahoma City Thunder,,74463409,74117458,69548447,59501709,2011,pro,NBA,Dallas Mavericks,"Dallas-Fort Worth, TX",Miami Heat,"Greater Miami Area, FL",Chicago Bulls,"Chicago, IL",Oklahoma City Thunder,"Oklahoma City, OK"
2012Miami Heat,2012Oklahoma City Thunder,2012Boston Celtics,2012San Antonio Spurs,,81558311,67863244,,69787704,2012,pro,NBA,Miami Heat,"Greater Miami Area, FL",Oklahoma City Thunder,"Oklahoma City, OK",Boston Celtics,"Greater Boston, MA",San Antonio Spurs,"San Antonio, TX"
2013Miami Heat,2013San Antonio Spurs,2013Indiana Pacers,2013Memphis Grizzlies,,82218984,63666028,55015196,73789859,2013,pro,NBA,Miami Heat,"Greater Miami Area, FL",San Antonio Spurs,"San Antonio, TX",Indiana Pacers,"Indianapolis Metro Area, IN",Memphis Grizzlies,"Memphis, TN"
2014San Antonio Spurs,2014Miami Heat,2014Indiana Pacers,2014Oklahoma City Thunder,,69614583,82351805,75174324,78791632,2014,pro,NBA,San Antonio Spurs,"San Antonio, TX",Miami Heat,"Greater Miami Area, FL",Indiana Pacers,"Indianapolis Metro Area, IN",Oklahoma City Thunder,"Oklahoma City, OK"
2015Golden State Warriors,2015Cleveland Cavaliers,2015Atlanta Hawks,2015Houston Rockets,,93707197,,71453126,90188412,2015,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Atlanta Hawks,"Atlanta, GA",Houston Rockets,"Houston, TX"
2016Cleveland Cavaliers,2016Golden State Warriors,2016Toronto Raptors,2016Oklahoma City Thunder,,,101725589,108664969,91339949,2016,pro,NBA,Cleveland Cavaliers,"Cleveland, OH",Golden State Warriors,"San Francisco Bay Area, CA",Toronto Raptors,"Toronto, ON",Oklahoma City Thunder,"Oklahoma City, OK"
2017Golden State Warriors,2017Cleveland Cavaliers,2017San Antonio Spurs,2017Boston Celtics,,137494845,,116153554,109926833,2017,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA"
2018Golden State Warriors,2018Cleveland Cavaliers,2018Boston Celtics,2018Houston Rockets,,,,,,2018,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH",Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX"
